date_,"0-(0, 0.25, 0, 0, 0, 0.25, 0, 0.25, 0, 0.25)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.25, 0, 0.25)","0-(0, 0.25, 0, 0.25, 0, 0.25, 0, 0.25, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0.5, 0, 0, 0, 0)","0-(0, 0.25, 0, 0.5, 0, 0, 0, 0.25, 0, 0)","0-(0, 0.25, 0, 0.5, 0, 0.25, 0, 0, 0, 0)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0, 0.25, 0.25)",0
2019-10-31,1.2409858454542473,1.309051555032267,1.477861869930726,1.288589074467811,1.4887552798147123,1.5911242285369827,1.3064953431823465,1.36196192933833
2019-11-30,1.3048757884512767,1.3591261613539074,1.5702855327190648,1.3667242383287612,1.540232050755199,1.6523921742891148,1.3638231362598097,1.406843098807519
2019-12-31,1.3489372410557954,1.4002562469428506,1.615170038097626,1.4010576255990674,1.6012737279651648,1.7198773997828012,1.3904257139355864,1.4460308081830147
2020-01-31,1.2826054302609604,1.3676726612414045,1.5316837881582608,1.328381427670659,1.5310935125625422,1.6541761660246457,1.321430595651412,1.4472406662983552
2020-02-29,1.133634154461841,1.2313869200123766,1.3880282362263143,1.2284727931397361,1.4238958719230579,1.5373111699679431,1.180909860735387,1.3287905684278731
2020-03-31,0.9087403996402474,1.039327532771288,1.2167686466958232,1.019053688504843,1.2490699808071706,1.3848382249332962,0.9113866030194299,1.1690585325586327
2020-04-30,1.0869099791885823,1.2084088769072752,1.38908966165438,1.2012594993520138,1.415985200382528,1.5775873777534524,1.0502156415937665,1.3174614891101386
2020-05-31,1.1200306303750542,1.2629632544219724,1.4471551782999574,1.205877612402575,1.474289673994401,1.6780408690425155,1.0902411990494552,1.3789287630245168
2020-06-30,1.1664380570206032,1.3005528315089567,1.5160497827644106,1.253389266557938,1.5324787465464957,1.762711735500691,1.147679570592173,1.4068605264173175
2020-07-31,1.2057936646273868,1.3762195830352397,1.5606294657000164,1.2797540384278205,1.5548363394603648,1.7805371258897353,1.1572316981265982,1.4873524974879766
2020-08-31,1.2382402638016257,1.4352855269247782,1.637107735158847,1.3259520370564415,1.625024438086114,1.8374928766063443,1.1847483135926067,1.5947022806377553
2020-09-30,1.2137953395859733,1.4023236766396998,1.6021830924937737,1.2861210632174296,1.5989176574143484,1.7887037351966295,1.1761172443530148,1.533383415371286
2020-10-31,1.1725641171255385,1.3429063528784995,1.5203341407646576,1.2588713673864818,1.5293813401074905,1.7367578045612122,1.1410199364576947,1.492534499829165
2020-11-30,1.3786746074690608,1.5287926950271424,1.733981085248336,1.4729298848343308,1.7533989477161795,1.9738041260340744,1.3572101018212084,1.6523843239492926
2020-12-31,1.4437400017475057,1.5789847305505997,1.829541255572622,1.542785947231167,1.830821296586082,2.086380066563339,1.4246419809978974,1.7143242753133794
2021-01-31,1.4509052531303355,1.5804467585623505,1.8736152428909778,1.5573081029748064,1.9021019897047389,2.1391320575150186,1.4300365278073184,1.6939112378130277
2021-02-28,1.4776233361447841,1.5825265643474826,1.8982390504201447,1.5683242567562554,1.948351937959088,2.1680547192903683,1.455183265008914,1.7360210666323788
2021-03-31,1.617282498481796,1.7223420472037592,2.037383051042564,1.6792877143394442,2.0806584103737404,2.28510479463809,1.569880890265376,1.8108939373640913
2021-04-30,1.6473291418011393,1.7524386629190238,2.0236449112503636,1.6878228738622405,2.101728772948396,2.2973231902276607,1.6325182144607204,1.906977119971367
2021-05-31,1.6509731714790232,1.76129622430396,2.048805018495371,1.7081872717949746,2.1477294414131287,2.3321069032022907,1.6446254193533094,1.9171961110569273
2021-06-30,1.6642069088376659,1.7662119131722493,2.10280459090165,1.7283213368214887,2.195810275051766,2.394879000882341,1.6312254024844548,1.964731015926137
2021-07-31,1.6728056649781782,1.7688011535255537,2.15475185468346,1.760717110272311,2.1985023297328263,2.4454084840145436,1.6629009656674016,2.0104386367548175
2021-08-31,1.6697347563436877,1.7718234184991324,2.174664706104497,1.777141522715775,2.232158145650669,2.503812898206892,1.687509690775156,2.0706035007869206
2021-09-30,1.5945226473074232,1.6911890707055772,2.060215158770751,1.6778264285232942,2.1273601038784404,2.366426317794969,1.5962409032930125,1.973731120637821
2021-10-31,1.6301675254591697,1.686477043382481,2.1188937704651987,1.7800256926439848,2.145450449355168,2.450910692643653,1.6973779674237106,2.1121887778405113
2021-11-30,1.6232710849059462,1.7205966656640082,2.18397754654895,1.815493148350154,2.1966700355022244,2.5316272461809772,1.683735652515284,2.0975955432118822
2021-12-31,1.7631925038786482,1.8747615831720625,2.338838870609295,1.879055372969293,2.381243002433472,2.715684696818984,1.7796800628396698,2.189070786748047
2022-01-31,1.7635517542340022,1.8748347396999012,2.2427103327552858,1.7905559115633034,2.318495976999329,2.642827994306022,1.796206620917927,2.0710978498443997
2022-02-28,1.7577921065281057,1.8665561394849663,2.204799808540497,1.7766117321627803,2.2673261097771085,2.5953123309016286,1.7462799768949135,2.00379287806631
2022-03-31,1.8092365912209272,1.8701941087232488,2.2525853964156664,1.7849339876770822,2.3480185904906925,2.6234353617789203,1.8124735966446865,2.0757261549110093
2022-04-30,1.7894840572717958,1.7507117471966316,2.1475009365005047,1.6322395576002289,2.3008656823650124,2.471458394544377,1.7729434346751627,1.8911817388400396
expected,0.00032762963152450924,0.00047728427097609775,0.00033053114925345347,0.0002432094984611144,0.00033979780483520903,0.00031596993554697516,0.0003450532144764947,
2002-11-30,,,,,,,,0.3559865384964794
2002-12-31,,,,,,,,0.3353064261189071
2003-01-31,,,,,,,,0.3258258571865209
2003-02-28,,,,,,,,0.32087308150036176
2003-03-31,,,,,,,,0.3234031776851244
2003-04-30,,,,,,,,0.3491447116197561
2003-05-31,,,,,,,,0.367377720281049
2003-06-30,,,,,,,,0.3723769959534822
2003-07-31,,,,,,,,0.3789321470415208
2003-08-31,,,,,,,,0.3862396428333224
2003-09-30,,,,,,,,0.3816341782337179
2003-10-31,,,,,,,,0.4028787112262506
2003-11-30,,,,,,,,0.4062985698921269
2003-12-31,,,,,,,,0.4269228701002366
2004-01-31,,,,,,,,0.4348693774245723
2004-02-29,,,,,,,,0.4403225815517873
2004-03-31,,,,,,,,0.4332036790069736
2004-04-30,,,,,,,,0.42411248961144155
2004-05-31,,,,,,,,0.42966785015432396
2004-06-30,,,,,,,,0.43753946806721433
2004-07-31,,,,,,,,0.4210363960153611
2004-08-31,,,,,,,,0.42262399539661916
2004-09-30,,,,,,,,0.4268672206436046
2004-10-31,,,,,,,,0.4309815537105809
2004-11-30,,,,,,,,0.4476599754353879
2004-12-31,,,,,,,,0.4622605127214022
2005-01-31,,,,,,,,0.45183653070378804
2005-02-28,,,,,,,,0.46223860973407366
2005-03-31,,,,,,,,0.45428104975622285
2005-04-30,,,,,,,,0.4456316560709576
2005-05-31,,,,,,,,0.45920995817135213
2005-06-30,,,,,,,,0.4596380475541693
2005-07-31,,,,,,,,0.4771065165489668
2005-08-31,,,,,,,,0.4713407262387449
2005-09-30,,,,,,,,0.47565796589284814
2005-10-31,,,,,,,,0.4648419055045733
2005-11-30,,,,,,,,0.48171440373220953
2005-12-31,,,,,,,,0.48082927951206206
2006-01-31,,,,,,,,0.4921886496989903
2006-02-28,,,,,,,,0.4931565250640569
2006-03-31,,,,,,,,0.4996490017119417
2006-04-30,,,,,,,,0.5021183394542967
2006-05-31,,,,,,,,0.48784856051074266
2006-06-30,,,,,,,,0.4885450455787859
2006-07-31,,,,,,,,0.49204957249749476
2006-08-31,,,,,,,,0.5038878396819587
2006-09-30,,,,,,,,0.5169206047009143
2006-10-31,,,,,,,,0.532358407121128
2006-11-30,,,,,,,,0.5399459501207987
2006-12-31,,,,,,,,0.5455656166695321
2007-01-31,,,,,,,,0.5499761715987073
2007-02-28,,,,,,,,0.5373053541159426
2007-03-31,,,,,,,,0.5406920694551254
2007-04-30,,,,,,,,0.563998673297133
2007-05-31,,,,,,,,0.5828983726723029
2007-06-30,,,,,,,,0.5725989502582194
2007-07-31,,,,,,,,0.5550934437095264
2007-08-31,,,,,,,,0.5633123547601593
2007-09-30,,,,,,,,0.5845401476983874
2007-10-31,,,,,,,,0.5922484047080966
2007-11-30,,,,,,,,0.5689040310232311
2007-12-31,,,,,,,,0.5649790115274651
2008-01-31,,,,,,,,0.5299392037952384
2008-02-29,,,,,,,,0.5128780948616387
2008-03-31,,,,,,,,0.511652646973189
2008-04-30,,,,,,,,0.5359264183642809
2008-05-31,,,,,,,,0.5429301240841982
2008-06-30,,,,,,,,0.4974200905836893
2008-07-31,,,,,,,,0.495613055013623
