,"0-(0.25, 0.25, 0, 0.25, 0, 0.25, 0, 0, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.25, 0, 0.25)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.25, 0.25, 0)","0-(0, 0.25, 0, 0.25, 0, 0, 0, 0.5, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0, 0.25, 0.25, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0.25, 0, 0.25, 0, 0)","0-(0, 0.25, 0, 0.25, 0, 0.25, 0.25, 0, 0, 0)","0-(0, 0.25, 0, 0.5, 0, 0, 0, 0.25, 0, 0)","0-(0, 0.25, 0, 0.5, 0, 0.25, 0, 0, 0, 0)","0-(0, 0.25, 0.25, 0.25, 0, 0.25, 0, 0, 0, 0)","0-(0, 0.5, 0, 0, 0, 0, 0, 0.25, 0.25, 0)","0-(0, 0.5, 0, 0, 0, 0, 0.25, 0.25, 0, 0)","0-(0, 0.5, 0, 0, 0, 0.25, 0, 0, 0.25, 0)","0-(0, 0.25, 0, 0, 0, 0, 0.25, 0.25, 0, 0.25)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0, 0.25, 0.25)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0, 0.5, 0)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0.25, 0, 0.25)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0.25, 0.25, 0)","0-(0, 0.25, 0, 0, 0, 0.25, 0, 0.5, 0, 0)","0-(0, 0.25, 0, 0, 0, 0.25, 0.25, 0.25, 0, 0)","0-(0, 0.25, 0, 0, 0, 0.5, 0, 0.25, 0, 0)",bm,stg
2020-09-30,0.885425446,1.135154045,1.038068505,1.058224195,1.208453519,1.216111403,1.340409008,1.224677533,1.382985174,1.250728956,1.016090682,0.956576194,0.947975766,0.86131404,0.941369579,1.014836269,1.039267205,1.037735781,1.241727609,1.11275653,1.206177227,1.225731933,1.100764984
2020-10-31,0.869030997,1.087056864,1.026387299,1.025830542,1.186491029,1.153985268,1.31218898,1.171416775,1.342821758,1.228569431,0.990641416,0.930278971,0.934753579,0.826556963,0.913277534,0.996773851,1.003964501,1.02384268,1.215641126,1.092831267,1.177792261,1.193078769,1.0719111
2020-11-30,1.020665306,1.237528282,1.187361892,1.143755544,1.360994862,1.316150557,1.494902877,1.343001178,1.5261006,1.414709435,1.099283359,1.079005836,1.086403852,0.982535948,1.086317124,1.098526341,1.180438958,1.140320041,1.372433887,1.227396475,1.363068479,1.320857009,1.226709563
2020-12-31,1.075782759,1.27815777,1.233542776,1.178381515,1.431357369,1.388683973,1.590637609,1.402302175,1.613141765,1.4815404,1.106439295,1.132190862,1.135413052,1.021182741,1.140289906,1.11797974,1.236148787,1.166471992,1.405195326,1.276180454,1.422739486,1.370369594,1.277798083
2021-01-31,1.090310049,1.279341253,1.247630288,1.18903587,1.440243563,1.422137627,1.571041166,1.456899022,1.653928408,1.481905573,1.110323232,1.145976485,1.117946805,1.012974086,1.144607725,1.113978497,1.242283767,1.168878809,1.46216714,1.264272193,1.437112182,1.35405214,1.288237797
2021-02-28,1.130584544,1.281024816,1.301651421,1.217524714,1.516477962,1.440827934,1.619717603,1.492323781,1.676290754,1.483814452,1.133604568,1.230598925,1.163421456,1.057831597,1.164735288,1.127450616,1.265160134,1.180867549,1.466763691,1.308524797,1.461295945,1.387713234,1.320023455
2021-03-31,1.232266577,1.39420276,1.391438248,1.31195575,1.616098978,1.546442958,1.667236341,1.593662811,1.766791219,1.527958885,1.242954208,1.363726275,1.259319976,1.167772752,1.256539788,1.210140588,1.384738108,1.276027567,1.609664384,1.4188515,1.535964792,1.447563932,1.417797832
2021-04-30,1.265381151,1.418565392,1.403397935,1.337981531,1.641765135,1.536015243,1.691833218,1.609801478,1.776238205,1.548460375,1.274362682,1.423658401,1.304346665,1.207764372,1.306674986,1.27942276,1.410464431,1.3283299,1.64773384,1.447082242,1.570732798,1.524369396,1.449048226
2021-05-31,1.284705856,1.425735418,1.423536024,1.369634062,1.648842106,1.555112619,1.708623988,1.645035303,1.803132184,1.580501832,1.315821835,1.462072811,1.325616505,1.235074081,1.316365648,1.281427932,1.413584496,1.311671345,1.6443009,1.437068565,1.592561291,1.532538093,1.465734514
2021-06-30,1.280410448,1.429714573,1.406694014,1.388804672,1.70288734,1.596100129,1.775134697,1.681862413,1.851666146,1.599905399,1.281116648,1.488302799,1.308597581,1.25453718,1.305640214,1.299381197,1.424915392,1.331899998,1.672582964,1.470236268,1.609504225,1.570535798,1.48380449
2021-07-31,1.283957175,1.431810513,1.400737466,1.390833954,1.741098897,1.635529867,1.748094577,1.68392437,1.890734397,1.540071287,1.282979383,1.507877161,1.308583209,1.285366413,1.330993478,1.339470631,1.432277758,1.358300245,1.683250661,1.504598307,1.6366126,1.607072837,1.496052493
2021-08-31,1.285380399,1.434256979,1.425509374,1.385957179,1.771401619,1.650644398,1.809841375,1.709702759,1.935891366,1.609330219,1.307780486,1.54312464,1.341641089,1.291495888,1.350690413,1.360543284,1.429648407,1.383381759,1.701125698,1.530497456,1.641733911,1.655166481,1.519027557
2021-09-30,1.223728173,1.368985025,1.3363148,1.328764703,1.651586074,1.563773303,1.682601297,1.62943358,1.829667177,1.513277316,1.251078227,1.520813306,1.262817144,1.275775062,1.277638462,1.279418882,1.36525083,1.29651152,1.619511678,1.433905811,1.534092075,1.57773016,1.44023545
2021-10-31,1.247083847,1.36517073,1.380152223,1.344750724,1.756333312,1.608312363,1.769805881,1.643289728,1.89498858,1.620555985,1.281528135,1.598689713,1.313362878,1.338591007,1.358589027,1.365164441,1.395770434,1.380346161,1.720525679,1.561059713,1.62081075,1.688408266,1.503089586
2021-11-30,1.215615697,1.392789908,1.408737493,1.375571464,1.824965296,1.657713161,1.788767626,1.682520939,1.957396789,1.662770061,1.286732165,1.552360905,1.309896487,1.316778447,1.347669656,1.378816974,1.389865613,1.41343866,1.758218696,1.594379531,1.617704106,1.676742955,1.520605223
2021-12-31,1.299250639,1.517583443,1.515821668,1.486593053,1.966488493,1.775258167,1.847058848,1.823893051,2.099705837,1.704051459,1.382110251,1.662154079,1.408760626,1.410837212,1.424463997,1.486889298,1.509668134,1.507156731,1.874804393,1.661284114,1.730341913,1.749864998,1.623532162
2022-01-31,1.306434641,1.517642662,1.448313375,1.460827977,1.876250776,1.702293341,1.689004037,1.775832495,2.043374687,1.536958686,1.36954217,1.703921949,1.374574034,1.415918683,1.437691929,1.422260031,1.509975729,1.426497657,1.761291716,1.478054556,1.623129111,1.655561646,1.565704297
2022-02-28,1.311758969,1.510941294,1.385710834,1.431148265,1.815308736,1.673517965,1.65955425,1.736639365,2.006636653,1.531909113,1.353419588,1.701300974,1.377441819,1.405036813,1.397730417,1.378097273,1.505044244,1.376422936,1.752460207,1.459643359,1.638486534,1.601760455,1.543248077
2022-03-31,1.362204412,1.51388616,1.400615914,1.443222986,1.91588191,1.70978885,1.735206296,1.798445092,2.028380743,1.584055485,1.387532765,1.781321527,1.430708816,1.452936214,1.45071209,1.400309355,1.549091675,1.389908901,1.755611704,1.518450323,1.669582065,1.659261348,1.58465968
2022-04-30,1.319908223,1.417167487,1.375653066,1.434075821,1.806095291,1.630026174,1.561350832,1.762328719,1.910875597,1.499339711,1.365194486,1.74020841,1.393954488,1.399792082,1.419071969,1.345839618,1.532179301,1.32385561,1.692015509,1.395874273,1.583179513,1.511743133,1.519427913
,,,,,,,,,,,,,,,,,,,,,,1.466707766,
